编号,名称,描述,数值,半径,填充颜色,文字大小
0,a,一个,1000,80,#BBFFFF,16
1,and,和,982,78,#96CDCD,16
2,away,远离,711,76,#FFEFD5,16
3,big,大的,704,74,#00CDCD,16
4,blue,蓝色的,662,72,#6495ED,16
5,can,能，会,633,70,#54FF9F,16
6,come,来,543,68,#8470FF,16
7,down,向下,512,66,#C0FF3E,16
8,find,发现,499,64,#00CED1,16
9,for,为......,482,62,#E0FFFF,16
10,funny,有趣的,475,60,#8FBC8F,16
11,go,去,310,58,#EEDC82,16
12,help,帮助,300,56,#20B2AA,16
13,here,这里,290,54,#FFD700,16
14,in,在里面,283,52,#FFC1C1,16
15,is,是,210,50,#CD5C5C,16
16,it,它,194,48,#FF8247,16
17,jump,跳，跃,184,46,#FFA07A,16
18,little,少到几乎没有的,283,44,#FF69B4,16
19,look,看,210,42,#FF3030,16
20,make,做，使,194,40,#FF00FF,16
21,me,我,184,38,#FFA07A,16
22,my,我的,122,36,#EEDFCC,16
23,not,不是,103,34,#FF6347,16
24,one,一个,99,32,#FFB5C5,16
25,play,玩，弹奏,83,30,#4876FF,16
26,red,红色的,43,28,#BF3EFF,16
27,run,跑,20,26,#B0E2FF,16
28,said,说（say的过去式）,10,24,#EED5D2,16
29,see,看见,10,22,#CD4F39,16